Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
EHPAD LES MELEZES,15467,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 44 92 00,22 RUE DU SCHURMFELD,67000,STRASBOURG,-
EHPAD LES MILLES SOURIRES,14250,,Herve QUELO,EHPAD,Centre Auvergne,04 73 72 70 00,4 Quartier Lamothe,63590,CUNLHAT,-
EHPAD LES MYRTILLES,18061,,Herve QUELO,EHPAD,Centre Auvergne,04 75 66 61 46,64 Route de a Planette,07190,ST PIERREVILLE,-
EHPAD LES ORCHIS,18632,,Herve QUELO,EHPAD,Centre Auvergne,04 73 97 11 53,3 rue de la Barre,63460,COMBRONDE,-
EHPAD Les Résidences de la Mosane,18288,,Celine LUCION,EHPAD,Grand Nord-Est,03 24 26 00 56,24 RUE FLAMANVILLE,08140,BAZEILLES,-
EHPAD LES SAVAROUNES,3321,,Herve QUELO,EHPAD,Centre Auvergne,04 73 31 76 00,"1, rue du Roc Blanc",63400,CHAMALIERES,-
EHPAD LES TERRASSES DE L'IBIE,15338,,Herve QUELO,EHPAD,Centre Auvergne,04 75 94 82 87,76 Allée Auguste Jouret,07170,VILLENEUVE DE BERG,-
EHPAD LES TROIS SOURCES - CDE PAR 12779,12778,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 45 60 08,4 Place Care,48150,MEYRUEIS,-
EHPAD LES VALLONS FLEURIS,18705,,Herve QUELO,EHPAD,Centre Auvergne,04 73 54 52 52,2 AVENUE CHARLES DE GAULLE,63570,BRASSAC LES MINES,-
EHPAD LOUIS TAURANT,14916,,Herve QUELO,EHPAD,Centre Auvergne,04 71 64 28 00,1 rue de de la Jordanne,15000,AURILLAC,-
EHPAD L’EMERAUDE,9670,,Aurore Auffret,EHPAD,Bretagne,02 96 41 93 37,Boulevard de la Cote d’émeraude,22380,ST CAST LE GUILDO,-
EHPAD MICHEL LAMARCHE,6298,,Aurore Auffret,EHPAD,Bretagne,02 96 84 60 47,Rue du 19 mars 1962,22250,BROONS,-
EHPAD MON REPOS,6758,,Aurore Auffret,EHPAD,Bretagne,02 40 33 53 57,Route Vieillevigne,44140,AIGREFEUILLE SUR MAINE,-
EHPAD Nazareth,16717,,Herve QUELO,EHPAD,Centre Auvergne,04 71 06 66 70,60 Av. Maréchal Foch,43000,LE PUY EN VELAY,-
EHPAD PAUL VALERY,15633,,Herve QUELO,EHPAD,Centre Auvergne,04 83 92 94 15,13 rue Françoise-Hélène Jourda,63000,CLERMONT FERRAND,-
EHPAD PEN AR STEIR,17705,,Aurore Auffret,EHPAD,Bretagne,02 98 91 80 90,1 RUE DE LANDIBILIC,29180,PLOGONNEC,-
EHPAD PIERRE BEREGOVOY,15496,,Herve QUELO,EHPAD,Centre Auvergne,03 86 38 44 00,18 rue du Commandant Achet,58160,IMPHY,-
EHPAD PIERRE DE CELLE,14738,,Celine LUCION,EHPAD,Grand Nord-Est,03 25 45 68 90,17 rue Gilbert Médéric,10120,ST ANDRE LES VERGERS,-
EHPAD RESIDENCE CAYLUS,14201,,Herve QUELO,EHPAD,Centre Auvergne,04 71 48 34 55,12 rue Caylus,15000,AURILLAC,-
EHPAD RESIDENCE LA JORDANNE,14196,,Herve QUELO,EHPAD,Centre Auvergne,04 71 64 28 00,1 rue de la Jordanne,15000,AURILLAC,-
EHPAD RESIDENCE LES PINS,11868,,Herve QUELO,EHPAD,Centre Auvergne,05 55 00 01 02,"5, avenue Léon Dunaud",87310,ST LAURENT SUR GORRE,-
EHPAD RESIDENCE MALLET,9447,,Herve QUELO,EHPAD,Centre Auvergne,04 71 23 18 18,Lieudit Le Mallet,15500,MASSIAC,-
EHPAD ROGER BESSON,12055,,Herve QUELO,EHPAD,Centre Auvergne,04 70 99 80 35,"8, rue Roger Besson",03150,ST GERAND LE PUY,-
EHPAD SAINT GABRIEL,14868,,Laurent DURIEUX,EHPAD,Val de Loire,02 51 42 15 41,20 Rue de la vendée,85610,CUGAND,-
EHPAD SAINT JEAN-BAPTISTE,17427,,Herve QUELO,EHPAD,Centre Auvergne,04 73 86 22 46,LE BOURG,63410,LOUBEYRAT,-
EHPAD SAINT LOUIS,16743,,Aurore Auffret,EHPAD,Bretagne,02 40 26 70 33,49 Rue Jean Baptiste,44140,GENESTON,-
EHPAD SAINT MARTIN,17197,HABITAT & HUMANISME SOIN,Celine LUCION,EHPAD,Grand Nord-Est,03 26 07 33 44,33 RUE DE BETHENY,51100,REIMS,-
EHPAD SAINT-RAPHAEL,12414,,Laurent DURIEUX,EHPAD,Val de Loire,02 43 95 19 25,3 Rue Jules Alain,72300,SOLESMES,-
EHPAD Saint-Sulpice,18234,,Herve QUELO,EHPAD,Centre Auvergne,04 77 69 31 00,729 rue Saint Sulpice,42300,VILLEREST,-
EHPAD ST CHARLES SCHILTIGHEIM,15468,,Celine LUCION,EHPAD,Grand Nord-Est,0388621212,31 RUE ST CHARLES,67300,SCHILTIGHEIM,-
EHPAD ST JEAN,15038,,Laurent DURIEUX,EHPAD,Val de Loire,,12 Rue Michelet,36000,CHATEAUROUX,-
EHPAD ST JOSEPH,9885,,Celine LUCION,EHPAD,Grand Nord-Est,02 32 79 25 00,20 Rue du Père Arson,76700,ROGERVILLE,-
EHPAD ST JOSEPH-SIAMPADH,12494,,IDF,EHPAD,Ile de France,01 64 24 32 36,41 avenue de Fontainebleau,77760,LA CHAPELLE LA REINE,-
EHPAD STV BAGUER MORVAN,9771,Hopital Saint Thomas de Villeneuve,Aurore Auffret,EHPAD,Bretagne,02 99 80 99 80,Chemin Du Heron,35120,BAGUER MORVAN,-
Ehpad Villa Claudine,17895,,Herve QUELO,EHPAD,Centre Auvergne,04 70 41 56 66,4 place de la Mairie,63310,RANDAN,-
EHPAD VILLA SAINTE MARIE,9445,,Herve QUELO,EHPAD,Centre Auvergne,04 71 48 10 94,23 rue du Général Destaing,15000,AURILLAC,-
EL CANT DELS OCELLS EHPAD,2308,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 39 72 01,Route Preste,66230,PRATS DE MOLLO LA PRESTE,-
ELVIRE GAY EHPAD,2567,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 88 20 28,3 Avenue de Saint Gaudens,31350,BOULOGNE SUR GESSE,-
EMILIE DE VILLENEUVE EHPAD,7243,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 62 39 00,9 Avenue Emilie de Villeneuve,81100,CASTRES,-
ENTRE DEUX MERS EHPAD KORIAN,8667,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 71 86 49,44 Boulevard du 11 Novembre 1918,33540,SAUVETERRE DE GUYENNE,-
ESCANDIHADO EHPAD,9926,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 80 99 20,560 AVENUE GENERAL DE GAULLE,83340,FLASSANS SUR ISSOLE,-
ESCANDIHADO SITE DE BESSE EHPAD,9913,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 69 73 88,237 CHEMIN DE FLANQUEGIERE,83890,BESSE SUR ISSOLE,-
ESKUALDUNA EHPAD DOMUSVI,5602,DOMUSVI,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 47 57 00,455 ave du Gl de Gaulle,64210,GUETHARY,-
ESTIBERE EHPAD,10176,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 05 39 06,4 rue du Bialé,64440,LARUNS,-
ETXETOA EHPAD,2715,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 93 50 00,Lotissement Etxetoa,64250,SOURAIDE,-
EUGENIE DESJOBERT EHPAD (EX 5149),11937,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 41 97 10,2 avenue Simone de Beauvoir,40130,CAPBRETON,-
EUZIERE EHPAD,2744,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 56 37 37,RUE YOURI GAGARINE,30480,CENDRAS,-
FABIEN LANAVE EHPAD,15387,Fondation Père Favron,Export,EHPAD,Dom-Tom,+262 262 91 55 20,80 Av. de la Commune de Paris,97420,LE PORT,-
FLEURS D'AUTOMNE EHPAD,4171,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 02 64 64,"1, rue de la Soie",69150,DECINES CHARPIEU,-
FLORE D'ARC EHPAD,3802,,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 32 55 00,"6, avenue de Flore",13420,GEMENOS,-
FOIX DE CANDALLE EHPAD,0787,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 80 32 63,24 Rue Maréchal Foch,24700,MONTPON MENESTEROL,-
FONDATION DELTA PLUS LIMOGES,10826,,Herve QUELO,EHPAD,Centre Auvergne,05 55 35 28 81,"6, rue Rhin et Danube",87380,LIMOGES,-
FONDATION PAULIANI,1823,,Dorian SANCHEZ,EHPAD,Sud-Est,04 92 17 66 00/ 6725,4 avenue Pauliani,06000,NICE,-
FONDATION SAINT SEVER,6197,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 08 02 22,25 rue de la Mairie,40430,LUXEY,-
FONTDIVINA EHPAD KORIAN,2345,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 97 17 75 00,CHEMIN ROMAIN,06240,BEAUSOLEIL,-
FOYER DE SUREL,17964,,Dorian SANCHEZ,EHPAD,Sud-Est,04 75 58 81 47,ADAPEI DROME,26320,ST MARCEL LES VALENCE,-
FOYER LES RIVALIERES,16468,,Herve QUELO,EHPAD,Centre Auvergne,04 73 55 02 31,947 ROUTE DE CLERMOND-FERRAND,63500,ISSOIRE,-
FOYER LES SOURCES F.A.H.G,16744,,Celine LUCION,EHPAD,Grand Nord-Est,07 83 36 69 56,236 PAIRIS,68370,ORBEY,-
FOYER PAUL HERNOT,13792,CCAS,Aurore Auffret,EHPAD,Bretagne,02 96 37 04 18,4 Rue Emmanuel Sieyès,22300,LANNION,-
FRANCIS CATALA EHPAD,3732,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 05 47 00,"12, avenue Conventionnel Fabre",66320,VINCA,-
FRANCOIS D'ASSISE EHPAD,5213,HABITAT & HUMANISME SOIN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 86 40 00,75 Rue Marcel Paul,39000,LONS LE SAUNIER,-
GAMBETTA EHPAD,14768,,Celine LUCION,EHPAD,Grand Nord-Est,03 20 21 50 40,99 rue du Marché,59000,LILLE,-
GARAZI EHPAD,3893,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 37 10 48,Bourg Ispoure,64220,SAINT JEAN PIED DE PORT,-
GAUTIER BEAUREGARD EHPAD,10006,,Herve QUELO,EHPAD,Centre Auvergne,04 73 68 02 83,56 Place du Coudert,63116,BEAUREGARD L'EVEQUE,-
GCS PUI ANJOU,3303,,Laurent DURIEUX,EHPAD,Val de Loire,02 41 83 47 00,"187, rue de l’hôpital",49700,DOUE EN ANJOU,-
GERARD MINVIELLE EHPAD,8035,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 73 41 42,A/A de MME UNG,40400,TARTAS,-
GERMAINE LEDAN EHPAD,8998,,Aurore Auffret,EHPAD,Bretagne,02 96 41 02 79,11 rue Ledan,22550,MATIGNON,-
GLORIANDE EHPAD,8306,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 70 31 00,Rue Henri Noguerre,12150,SEVERAC LE CHATEAU,-
GOXA LEKU EHPAD,3335,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 37 73 73,Centre Bourg,64640,IHOLDY,-
GROUPE SOS SENIORS LE PLATEAU,14387,SOS,Celine LUCION,EHPAD,Grand Nord-Est,0382545400,,57840,OTTANGE,-
HAIZPEAN EHPAD,5605,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 01 10 30,79 rue de l'Armatonde,64700,HENDAYE,-
HAMEAU D'EGUZON,14128,,Laurent DURIEUX,EHPAD,Val de Loire,02 54 01 66 10,"24, rue Jean Jaurès",36270,EGUZON CHANTOME,-
HARMONIE EHPAD,17659,,Celine LUCION,EHPAD,Grand Nord-Est,03 27 23 78 00,EHPAD HARMONIE,59300,AULNOY LEZ VALENCIENNES,-
HENRI FRUGIER EHPAD,3908,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 52 81 32,rue de la République,24450,LA COQUILLE,-
HERRI BURUA EHPAD COLISEE,3744,COLISEE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 43 20 20,3 place Harrismendi,64210,ARBONNE,-
HESTIADOUR EHPAD-FLEXI,5789,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 35 39 32,52 rue du Champ du Bourg,40465,PONTONX SUR L'ADOUR,-
HOME ARMENIEN EHPAD,8266,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 19 51 50,107 AV MARECHAL LYAUTEY,83700,ST RAPHAEL,-
HOME DE CORTEFREDONE EHPAD,9645,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,04 74 25 75 36,58 PLACE DU HOME,01310,CURTAFOND,-
HOSTACHY EHPAD,14208,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 76 30 02 24,ROUTE LA SALETTE,38970,CORPS,-
HYACINTHE HEVIN EHPAD,14919,,Aurore Auffret,EHPAD,Bretagne,02 99 96 62 06,5 Rue Hyacinthe Hevin,35370,ETRELLES,-
ILOT DU PARC RESIDENCE,7018,,Export,EHPAD,Export,021 796 01 11,Route de Taillepied 125,1095,LUTRY,-
JARDIN ATLANTIQUE EHPAD,13161,KORIAN,Aurore Auffret,EHPAD,Bretagne,02 40 15 08 89,8 Rue de la Paix,44510,LE POULIGUEN,-
JEAN BATISTE DELFAU EHPAD,6762,SOLEA,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 46 19 10,64 Avenue d' Albi,12170,REQUISTA,-
JEAN DITHURBIDE EHPAD,0499,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 54 21 59,Quartier Bourg,64310,SARE,-
JEAN GALLET EHPAD,7976,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 35 46 07,3 RUE RICHELIEU,24660,COULOUNIEIX CHAMIERS,-
JEAN LOUBES EHPAD,5586,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 24 70 37,Pommes Roses,11270,FANJEAUX,-
JEANNE COULON EHPAD,4358,,Herve QUELO,EHPAD,Centre Auvergne,04 70 98 54 88,"12, rue Neuve",03200,VICHY,-
JEANNE D'ALBRET EHPAD,4365,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 38 76 00,"2, avenue Francis James",64300,ORTHEZ,-
JEANNE DE BARONCELLI EHPAD,5459,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 51 91 19,2 RUE DE L HOPITAL,84860,CADEROUSSE,-
JEANNE DELANOUE EHPAD AGESPA,5474,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 25 72 50,ROUTE DE CABRIERES,34320,FONTES,-
JOACHIM FLEURY EHPAD,1659,,Aurore Auffret,EHPAD,Bretagne,02 96 84 62 31,27 Avenue de la Barrière,22250,BROONS,-
JP TOUCAS EHPAD,4003,,Herve QUELO,EHPAD,Centre Auvergne,04 73 85 00 78,10 RUE SAINT ROQUES,63700,MONTAIGUT EN COMBRAILLE,-
KAMOURASKA EHPAD,8234,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 31 93 00,4 RUE VERNAZ,74240,GAILLARD,-
KIRCHBERG MAISON DE RETRAITE,3804,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 70 46 47,39 rue Kirchberg,67290,LA PETITE PIERRE,-
KORIAN JARDIN DE NEPTUNE,14088,KORIAN,IDF,EHPAD,Ile de France,01 55 12 21 60,"29, avenue de l'Alma",94210,LA VARENNE ST HILAIRE,-
KORIAN L'AIR DU TEMPS,13179,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 88 45 80 45,3 RUE DE LA BARONNE D'OBERKIRCH,67000,STRASBOURG,-
KORIAN LA COTONNADE,13177,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 89 50 63 00,2 rue des Etoffes,68120,PFASTATT,X
KORIAN LA VALLEE BLEUE,13319,KORIAN,Herve QUELO,EHPAD,Centre Auvergne,02 48 82 21 00,78 avenue de la République,18200,ST AMAND MONTROND,X
KORIAN LE BOURGENAY,3833,KORIAN,Laurent DURIEUX,EHPAD,Val de Loire,02 51 96 88 89,1 RUE CHENAL,85100,LES SABLES D'OLONNE,-
KORIAN LE DOUBS RIVAGE,13906,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 81 31 30 00,7 avenue Georges Pompidou,25200,MONTBELIARD,-
KORIAN LE FLORE,17614,KORIAN,IDF,EHPAD,Ile de France,01 69 83 45 90,8 RUE RENE CASSIN,91230,MONTGERON,-
KORIAN LE GENTILE,2184,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 83 96 46 02,La Saône,54520,LAXOU,-
KORIAN LE JARDIN,14031,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,02 35 70 16 62,121 Avenue des Martyrs de la Résistance,76000,ROUEN,-
KORIAN LES CATALAUNES,14145,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 51 78 04 00,6 rue de l'hôpital Militaire,51000,CHALONS EN CHAMPAGNE,-
KORIAN LES GRANDS CRUS,5452,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 54 77 00,"46, Boulevard Henri Bazin",21000,DIJON,-
KORIAN LES JARDINS D'HUGO,12623,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 25 74 26 50,"24, rue Victor Hugo",10440,LA RIVIERE DE CORPS,-
KORIAN LES MARQUISES,13387,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 20 74 12 13,68 rue Nationale,59700,MARCQ EN BAROEUL,-
KORIAN MAISON DES AULNES,12910,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 29 58 90 40,,88100,STE MARGUERITE,-
KORIAN PASTORIA,14147,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 25 49 02 22,41 Avenue Pasteur,10000,TROYES,-
KORIAN PLACE ROYALE - MAISON DE RETRAITE,12582,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 26 88 79 79,10-12 rue Cérès,51100,REIMS,-
KORIAN PLAISANCE,12802,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 83 30 81 50,12 BOULEVARD 21 E REGIMENT AVIATION,54000,NANCY,-
KORIAN RESIDENCE LA SAULX,3682,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 83 96 69 66,"1, allée de la Saulx",54520,LAXOU,-
KORIAN RESIDENCE LES LIERRES,2227,KORIAN,IDF,EHPAD,Ile de France,01 48 71 95 00,19 rue du Bac,94170,LE PERREUX SUR MARNE,-
KORIAN VAL AUX FLEURS,14033,KORIAN,IDF,EHPAD,Ile de France,02 32 36 58 19,67 grande rue,27730,BUEIL,-
KORIAN VILLA BERAT LISIEUX,12656,KORIAN,Niels COLLEU,EHPAD,Normandie,02 31 62 16 05,70 rue du général Leclerc,14100,LISIEUX,-
KORIAN VILLA DES REMES,13379,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,03 26 02 77 00,2 rue Aix la chapelle,51100,REIMS,-
KORIAN VILLA SAINT DO,14027,KORIAN,Celine LUCION,EHPAD,Grand Nord-Est,02 35 52 47 00,125 Avenue Maréchal Juin,76230,BOIS GUILLAUME,-
KORIAN VILLA SAINT-HILAIRE,14089,KORIAN,IDF,EHPAD,Ile de France,01 55 12 14 40,40 avenue Caffin,94210,SAINT-MAUR-DES-FOSSES,-
L'AGE D'OR EHPAD,6142,DOMIDEP,Celine LUCION,EHPAD,Grand Nord-Est,03 44 06 33 33,1 allée des épingliers,60000,BEAUVAIS,-
L'ARNAUD EHPAD,7461,HABITAT & HUMANISME SOIN,Dorian SANCHEZ,EHPAD,Sud-Est,04 75 70 06 24,CHEMIN DES ARNAUDS,26100,ROMANS SUR ISERE,-
L'ARRIBET EHPAD,5655,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 04 47 00,Route de Samadet,64410,ARZACQ ARRAZIGUET,-
L'AUBIER DE CYBELE EHPAD KORIAN,7881,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 44 90 00,QUARTIER DE LA TOUR DE MARE,83600,FREJUS,-
L'ECLAIRCIE EHPAD,17256,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 53 04 00,RUE DE LA FRESSE,39300,EQUEVILLON,-
L'EHPAD LES CHATAIGNIERS,14889,,Herve QUELO,EHPAD,Centre Auvergne,04 75 94 05 40,Le Village,07530,ANTRAIGUES,-
L'ENSOULEIADO EHPAD,11759,,Dorian SANCHEZ,EHPAD,Sud-Est,04 75 98 32 23,37 RUE DES COIGNETS,26790,TULETTE,-
L'ENSOULEIADO EHPAD,14363,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 29 45 00,93 RUE HENRI CLEMENT,84420,PIOLENC,-
L'EOLIENNE EHPAD,3868,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 24 41 00,"51, rue Jean Sellier",69520,GRIGNY,-
L'ERMITAGE EHPAD,8827,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 70 25 25,26 CHEMIN DE LA RATTE,74200,THONON LES BAINS,-
L'ESCONDA EHPAD,7522,KORIAN,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 74 29 29,8 AVENUE DE THUYSET,74200,THONON LES BAINS,-
L'HORIZON BLEU EHPAD,13425,,Aurore Auffret,EHPAD,Bretagne,02 96 63 68 58,2 Allée de l'horizon bleu,22430,ERQUY,-
L'OASIS EHPAD,9133,,Export,EHPAD,Dom-Tom,05 96 63 21 42,Route de Balata,97200,FORT DE FRANCE,-
L'OLIVIER BLEU EHPAD,3666,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 52 20 20,Rue des Magnolias - La Rocade,20090,AJACCIO,-
L'OREE DES PINS EHPAD,2542,,Laurent DURIEUX,EHPAD,Val de Loire,02 54 95 65 50,Rue Stade,41210,NEUNG SUR BEUVRON,-
L'OUSTAL DE TALAIRAN EHPAD,13038,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 75 60 70,1 CHEMIN SAINT VINCENT,11220,TALAIRAN,-
L'OUSTAL PIGNAN EHPAD,5200,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 17 93 17,11 AV HENRI MAJUREL,34570,PIGNAN,-
L'OUSTALET EHPAD 84,5163,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 12 60 00,8 COURS DES ISNARDS,84340,MALAUCENE,-
L'OUSTAOU DE ZAOU EHPAD PUBLIC,9860,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 50 28 50,96 CHEMIN DES PRES,83630,AUPS,-
LA BASTIDE EHPAD,2962,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 97 83 00,Le Pré Commun,31360,BEAUCHALOT,-
LA BASTIDE EHPAD,6348,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 22 30 36,66 boulevard de la résistance,24440,BEAUMONT-DU-PERIGORD,-
LA BASTIDE ROUANET-ICHE EHPAD,1633,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 98 00 34,23 boulevard Carnot,81270,LABASTIDE ROUAIROUX,-
LA BELLE ISLE EHPAD,6654,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 57 55 34 34,70 rue des Reaux,33500,LIBOURNE,-
LA BOURBONNERIE EHPAD,7286,,Laurent DURIEUX,EHPAD,Val de Loire,05 45 78 64 64,3 RUE DE LA BOURBONNERIE,16360,BAIGNES STE RADEGONDE,-
LA BOURDETTE EHPAD,12970,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 67 05 62,Chemin la Bourdette,47220,ASTAFFORT,-
LA BRUNETTERIE EHPAD,8961,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 56 50 14,1 chemin de la Brunetterie,86800,SEVRES ANXAUMONT,-
LA CASTELBOURDINOISE EHPAD,12148,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,,15 rue du chemin des chaussées,79310,ST PARDOUX,-
LA CASTELLANE EHPAD,6555,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 98 49 49,Place Jean Jaures,66660,PORT VENDRES,-
LA CENTAUREE EHPAD,14862,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 22 16 00,RUE CENTAUREE,73350,BOZEL,-
LA CERISAIE EHPAD,5741,MAISON DE FAMILLE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 09 70 70,Lieu-dit Estella,31180,CASTELMAUROU,-
LA CHAPELAUDE EHPAD,4044,,Herve QUELO,EHPAD,Centre Auvergne,05 55 52 24 44,A/A de Monsieur VITTE,23000,LA CHAPELLE TAILLEFERT,-
LA CHATAIGNERAIE EHPAD,2599,,Aurore Auffret,EHPAD,Bretagne,02 40 01 60 20,45 terre rue nantaise,44160,PONTCHATEAU,-
LA CHATELAINE EHPAD,17262,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 47 17 34,6 Pl. de la Liberté,39570,MONTMOROT,-
LA CHATELLENIE EHPAD,7264,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,05 46 33 60 19,20 rue de la Dordouille,17510,NERE,-
LA CHENERAIE EHPAD,6330,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 23 27 27,230 Chemin de la Chêneraie,31600,LHERM,-
LA CLOSERIE DES TILLEULS,10769,DOMIDEP,Celine LUCION,EHPAD,Grand Nord-Est,03 44 08 81 81,7 Rue des Écoles,60149,ST CREPINS IBUOVILLERS,-
LA COLLINE EHPAD CASIP-COJASOR,0101,,Dorian SANCHEZ,EHPAD,Sud-Est,04 93 86 50 90,Résidence Retraite LA COLLINE,06200,NICE,-
LA COLLINE SAINTE MUSSE - LE COSOR EHPAD,3569,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 27 26 89,LE COSOR,83000,TOULON,-
LA COLOMBE EHPAD KORIAN,5204,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 51 73 00,18 RUE DES FAUVETTES,34770,GIGEAN,-
LA COUSTOURELLE EHPAD,3516,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 80 03 44,"21, rue Emilien Dumas",30250,SOMMIERES,-
LA CROIX DU MARECHAL EHPAD,11791,KORIAN,Laurent DURIEUX,EHPAD,Val de Loire,05 45 94 89 00,14 CHEMIN DE RECOUX,16800,SOYAUX,-
LA CROIX DU SUD EHPAD,1476,DOMIDEP,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 96 40 61,place de la Halle,09230,FABAS,-
LA FILATURE,13176,VIVALTO,Celine LUCION,EHPAD,Grand Nord-Est,03 89 36 71 00,26 ALLE NATHAN KATZ,68100,MULHOUSE,-
LA FONTANELLE EHPAD,8151,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 47 03 53,21 rue de la Fontanelle,12800,NAUCELLE,-
LA GENOLLIERE EHPAD,2824,L'ASSOCIATION DES FOYERS DES PROVINCES,Laurent DURIEUX,EHPAD,Val de Loire,05 49 42 04 03,13 rue la Génollière,86340,NIEUIL L'ESPOIR,-
LA GIRARDE RESIDENCE,9745,Fondation du Relais,Export,EHPAD,Export,+41 21 711 72 00,Chemin de la Girarde 2,1060,ESPALINGES,-
LA GREZE EHPAD,7008,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 34 27 45,10 Avenue de Lautrec,81440,MONTDRAGON,-
LA HAUTIERE EHPAD,4129,,Aurore Auffret,EHPAD,Bretagne,02 40 77 72 79,144 RUE DESCARTES,44240,SUCE SUR ERDRE,-
