Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
CEVENOLE PHIE,9910,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 66 85 31 68,COMBE DASES,30270,ST JEAN DU GARD,-
CHAINIEUX PHIE,1241,APRIUM,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 66 61 05 81,"147, Rue des Vignerons",30560,ST HILAIRE DE BRETHMAS,X
CHAMBLAS PHARMACIE (ANC 5500),12852,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 22 30 07,27 avenue du Monpazier,24440,BEAUMONTOIS EN PERIGORD,-
CHAMPBERTRAND PHARMACIE,1903,,Herve QUELO,PHARMACIE,Centre Auvergne,03.86.65.12.70,Espace SAINT-PAUL,89100,SENS,X
CHAMPIAT PHARMACIE,1917,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 62 95 96,4 rue des vignerons,63116,BEAUREGARD L'EVEQUE,-
CHAMPOLLION PHARMACIE (EX CAHUZAC),11877,GIPHAR,Laurent DURIEUX,PHARMACIE,Val de Loire,05 65 50 05 16,"2, Place Champollion",46100,FIGEAC,-
CHANTECLER FAM,7895,,Celine LUCION,EMS,Grand Nord-Est,02 32 80 80 10,330 rue de la Croix Saint Jean,76890,IMBLEVILLE,-
CHANZY PHARMACIE - HELLEMMES LILLE,10634,GIROPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 56 66 42,"160, rue Chanzy",59260,HELLEMMES LILLE,-
CHAPUIS MELLET PHARMACIE,10803,PHARMAVIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 37 93 90,520 AVENUE JEAN MOULIN,34490,LIGNAN SUR ORB,-
CHATEAU BELLEVUE FOYER D'HEBERGEMENT ADAPEI,5299,ADAPEI,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 65 33 02,113 chemin Bellevue,64300,BAIGTS DE BEARN,-
CHATEAU DE CUINCHY,5238,DOMIDEP,Celine LUCION,EMS,Grand Nord-Est,03 21 63 86 86,,62149,CUINCHY,-
CHATEIGNER PHARMACIE,2390,PHARMAVIE,Laurent DURIEUX,PHARMACIE,Val de Loire,02 51 46 74 74,"14, rue du Marché",85310,RIVES DE L'YON,-
CHEBLI PHARMACIE,13350,,Dorian SANCHEZ,PHARMACIE,Sud-Est,05 65 98 18 50,1 Rue du Coustel,12400,ST AFFRIQUE,-
CHETREFF PHARMACIE (COMPTOIR ONLY),10990,Unipharm Grand Ouest (apsara),Celine LUCION,PHARMACIE,Grand Nord-Est,02 35 77 33 33,Rue ean Jaurès,76410,TOURVILLE LA RIVIERE,-
CHEVALIER PAX PHARMACIE,2084,UNIVERS PHARMACIE,Celine LUCION,PHARMACIE,Grand Nord-Est,03 83 81 01 88,4 rue victor Hugo,54700,PONT A MOUSSON,-
CHI MONT DE MARSAN (ex POLE GERIATRIQUE DU PAYS DES SOURCES),3535,,Caroline VILLEMUR,HÔPITAUX ET CLINIQUES ,Sud-Ouest,05 58 04 18 04,Magasin de la Pharmacie,40000,MONT DE MARSAN,-
CHOPINEAU PHARMACIE,7815,,Herve QUELO,PHARMACIE,Centre Auvergne,02 48 73 70 41,27 Grande Rue,18260,VAILLY SUR SAULDRE,-
CHRS MARIANNA,6878,,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 40 26 67,25 Avenue Gaston,64000,PAU,-
CILT ST BLANCARD FAM,14151,,Caroline VILLEMUR,EMS,Sud-Ouest,05 62 66 19 19,Au Village,32140,ST BLANCARD,-
CITE RADIEUSE CEDRES,17768,37°,Export,EMS,Export,,ROUTE DE SAINT-SAPHORIN 23,1112,ECHICHENS,-
CLEMENCEAU PHARMACIE RPET,14178,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 73 66 36,12 boulevard Clémenceaux,21000,DIJON,-
CLERC PHARMACIE,3305,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 47 16 45,"59, rue du Général de Gaulle",21760,LAMARCHE SUR SAONE,-
CLINIQUE DU VAL D'ANCRE,4340,,Celine LUCION,EMS,Grand Nord-Est,03 22 74 30 00,86 AV. DE LA REPUBLIQUE,80300,ALBERT,-
CLOS FLEURI EXTERNES ADAPEI,12749,ADAPEI,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 14 60 00,3 allées des Hirondelles,64320,BIZANOS,-
CLOS FLEURI INTERNES ADAPEI,12748,ADAPEI,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 14 60 00,3 allées des Hirondelles,64320,BIZANOS,-
COALIA ALBERT 'LES TISSERINS',12800,,Celine LUCION,EMS,Grand Nord-Est,03 22 76 03 70,42 Rue du Chevalier de la Barre,80300,ALBERT,-
COEUR DES JALLES PHARMACIE,3383,LAFAYETTE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 05 02 44,48 avenue Montesquieu,33160,ST MEDARD EN JALLES,-
COHEN CHEVALON PHARMACIE,14463,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 21 09 09 94,439 rue de l'Impératrice,62600,BERCK,-
COINDREAU PHARMACIE,8567,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 43 41 56,24 bis avenue Henri Petonnet,86370,VIVONNE,-
COLISEE VALLEE MEDICALE RESIDENCE,7016,COLISEE,Aurelien COURTOISIER,EMS,Centre-Est,03 81 84 11 97,Quai du Canal,25110,BAUME LES DAMES,-
COLLECTIF MAISON DE BEGLES,11047,,Caroline VILLEMUR,EMS,Sud-Ouest,05 56 49 60 58,14 ave de Verdun,33130,BEGLES,-
COLONNA DE CINARCA PHARMACIE,9406,TOTUM,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 95 22 17 26,RESIDENCE ROCADE PADULES,20000,AJACCIO,-
COMPTOIR / DU MARMONT PHARMACIE,8549,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 74 60 80 36,rue du Marmont,01480,JASSANS RIOTTIER,-
COMPTOIR DE BONY PHARMACIE,13436,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 80 53 55,131 RUE DE LA REPUBLIQUE,69120,VAULX EN VELIN,-
COMPTOIR DE LA TOUR PHARMACIE,4211,HEXA PHARM,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 85 92 02 05,La Tour,71390,BUXY,-
COMPTOIR DE NOYER PHARMACIE (ex 10335),17936,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 50 70 51 93,388 AV DE THONON,74200,ALLINGES,-
COMPTOIR GRANDE PHARMACIE DE CHENOVE GIPHAR,5451,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 52 53 96,"1, rue Maxime Guillot",21300,CHENOVE,-
COMPTOIR MONTABERLET PHARMACIE,3746,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 49 06 22,"22, avenue Jean Jaurès",69150,DECINES CHARPIEU,-
CONCORDIA PHARMACIE,3374,,Export,PHARMACIE,Dom-Tom,05 90 51 95 28,Rue Tah Bloudy,97150,ST MARTIN,-
CONTESSE EMS,10918,Fondation Saphir,Export,EMS,Export,0041 24 453 70 70,Le Praz-Amiet 6,1322,CROY,-
COUPE PHARMACIE,4871,GIROPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 27 92 51 30,26 Rue Henri Barbusse,59580,ANICHE,-
COUTURIER PHARMACIE (GIPHAR),5727,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 70 14 87,"13, avenue Pasteur",87700,AIXE SUR VIENNE,-
CROIX DE LORRAINE PHARMACIE,3540,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 87 58 72 41,"4, rue Maurice Thorez",57250,MOYEUVRE GRANDE,X
D'ALBRET PHARMACIE,8054,MEDIPRIX,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 73 53 98,29 place Gambetta,40400,TARTAS,-
D'ARGOUGES EX LEMONIER LESOUHAITIER PHARMACIE,2839,LE RESEAU DES PHARMACIENS ASSOCIES,Niels COLLEU,PHARMACIE,Normandie,02 31 92 34 59,"43, rue Beauvais",14400,BAYEUX,-
D'ASCAIN PHARMACIE,9413,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 54 00 42,Rue Ernest Fourneau,64310,ASCAIN,-
D'ESPIUTE FOYER DE VIE ADAPEI 64,18562,,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 38 54 70,Complexe du Château d’Espiute,64390,ESPIUTE,-
D'ESPIUTE FOYER DE VIE ADAPEI 64,8009,ADAPEI,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 38 54 70,rue Château d'Espiute,64390,ESPIUTE,-
D'ESPIUTE FOYER HERBERGEMENT ADAPEI 64,18561,,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 38 54 70,Bourg,64390,ESPIUTE,-
D'ESPIUTE MAPHA L'ARRISSSOULET ADAPEI 64,18563,,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 38 54 70,Château d'Espiute,64390,ESPIUTE,-
D'ESTAING PHARMACIE,16877,,Dorian SANCHEZ,PHARMACIE,Sud-Est,05 65 44 72 20,Rue François d'Estaing,12190,ESTAING,-
D'HAROUE PHARMACIE,5486,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 83 52 40 04,11 rue du Maréchal BEAUVAU,54740,HAROUE,-
D'HASNON PHARMACIE,7020,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 27 26 62 26,74 rue Jean Jaurès,59178,HASNON,-
DAGAS PHARMACIE,2202,APRIUM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 05 30 30,905 avenue du Houga,40000,MONT DE MARSAN,-
DALBIGNAT PHARMACIE,3611,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 54 10 97,"6, place du docteur Gigante",43250,STE FLORINE,X
DAMERY PHARMACIE,9074,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 92 81 18 79,RESIDENCE LA GRANDE OURSE,04400,LE SAUZE,-
DAMNON PHARMACIE,4843,GIPHAR,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 84 37 83 49,"25, rue de la République",39330,MOUCHARD,-
DAMY PHARMACIE,15863,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 65 20 00 36,Le Bourg,46090,MERCUES,-
DASTEGUY PHARMACIE,4877,PHARM O2,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 57 65 69,"20, route du Herrou",40300,ST LON LES MINES,-
DE BAGNAC PHARMACIE,16434,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 65 34 90 30,8 AVENUE JOSEPH CANTELOUBE,46270,BAGNAC SUR CELE,-
DE BALAN PHARMACIE,17591,PHARMACORP,Celine LUCION,PHARMACIE,Grand Nord-Est,03 24 27 29 22,11 AVENUE CHARLES DE GAULLE,08200,BALAN,-
DE BARBY PHARMACIE+++,4944,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 79 70 39 84,immeuble Mont Cenis,73230,BARBY,X
DE BAZEILLES PHARMACIE,18249,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 24 27 40 15,26 RUE FLAMANVILLE,08140,BAZEILLES,-
DE BEL FONT PHARMACIE,4459,,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 39 98 56,48 AVENUE DE LIMOGES,87270,COUZEIX,-
DE BIGAULT PHARMACIE,1910,,Laurent DURIEUX,PHARMACIE,Val de Loire,02 54 83 62 26,27 rue Henri de Joffre,41210,NEUNG SUR BEUVRON,-
DE BRETAGNE PHARMACIE GIPHAR,8211,GIPHAR,Aurore Auffret,PHARMACIE,Bretagne,02 99 30 12 19,2 Place de Bretagne,35000,RENNES,-
DE CARNOULES PHARMACIE,9927,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 28 33 18,C.C INTERMARCHE,83660,CARNOULES,-
DE CARRESSE PHARMACIE (EX 4875),14333,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 38 47 01,Bourg,64270,CARRESSE CASSABER,-
DE CAVAN PHARMACIE,16345,,Aurore Auffret,PHARMACIE,Bretagne,02 96 35 85 64,7 RUE MAURICE DENIS,22140,CAVAN,X
DE CHAMPAGNAC DE BEL AIR PHARMACIE,4522,NEPENTHES,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 04 97 66,Lieudit Les Chaminades,24530,CHAMPAGNAC DE BELAIR,-
DE CHANTEMERLE PHARMACIE,9646,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 37 62 40,43 avenue de la Paix,63830,DURTOL,-
DE CHAUVE PHARMACIE (NEW 17572),10222,UNIPHARM Loire Ocean (Apsara),Aurore Auffret,PHARMACIE,Bretagne,02 40 82 82 42,1 RUE D'ARTHON,44320,CHAUVE,-
DE CLOHARS PHIE - CLOHARS CARNOET - COMPTOIR ONLY,10411,,Aurore Auffret,PHARMACIE,Bretagne,02 98 71 55 43,4 place du Général de Gaulle,29360,CLOHARS CARNOET,-
DE COCAGNE PHARMACIE,14752,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 74 30 19,7 Rue du Barry,81570,VIELMUR SUR AGOUT,-
DE COTE CHAUDE PHARMACIE (new 16715),8531,,Herve QUELO,PHARMACIE,Centre Auvergne,04 77 32 27 85,"10, Place de la République",42000,ST ETIENNE,-
DE COUCY PHARMACIE,16534,COTE PHARMA (leader Santé),Celine LUCION,PHARMACIE,Grand Nord-Est,03 23 52 70 14,2 AVENUE ALTENKESSEL,02380,COUCY LE CHATEAU AUFFRIQUE,-
DE CUNLHAT PHARMACIE (NE PAS LIVRER VOIR AVEC HERVE),4199,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 72 20 12,"8, Place du Marché",63590,CUNLHAT,-
DE DIDIER PHARMACIE,9132,Groupe PHR ANTILLE,Export,PHARMACIE,Dom-Tom,05 96 60 05 17,"60, rue du Professeur Raymond Garcin",97200,FORT DE FRANCE,-
DE FLAYOSC PHARMACIE,11065,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 70 42 31,29 BD JEAN MOULIN,83780,FLAYOSC,-
DE FONTCOUVERTE PHARMACIE,16396,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 46 93 66 41,11 route du Chemin Vieux,17100,FONTCOUVERTE,-
DE FRESSANGES PHARMACIE (GIPHAR),7965,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 52 01 66,"1, rue Léon BLUM",23000,GUERET,-
DE GASCOGNE PHARMACIE (new 17803),6761,CAP-UNIPHARM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 65 61 23,2 Route de Mont de Marsan,33840,CAPTIEUX,-
DE GUAGNO FAM HD2A,12394,,Dorian SANCHEZ,EMS,Sud-Est,04 95 25 09 20,POGGIOLO,20125,POGGIOLO,-
DE GUETHARY DE PHARMACIE,4002,PHARMACTIVE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 26 50 43,RN 10,64210,GUETHARY,-
DE JARDIN PHARMACIE,9263,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 74 31 66 36,24 PLACE MICHEL BERARDIER,38200,JARDIN,-
DE JOUVENCE PHARMACIE,0544,GIROPHARM,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 85 94 12 12,Avenue de la promenade,71460,ST GENGOUX LE NATIONAL,-
DE JUJURIEUX PHARMACIE,4558,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 74 36 81 66,Avenue des Sports,01640,JUJURIEUX,-
DE KERVENT PHARMACIE,15663,AELIA,Aurore Auffret,PHARMACIE,Bretagne,02 98 69 01 62,CC Leclerc,29250,ST POL DE LEON,-
DE L' HARMONIE PHARMACIE,16123,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 65 12 20,9 Cr Gabriel Fauré,09000,FOIX,-
DE L' HOTEL DE VILLE PHARMACIE,2355,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 37 41 83,7 rue de Tourcoing,59126,LINSELLES,-
DE L'ABBAYE PHARMACIE,16027,,Celine LUCION,PHARMACIE,Grand Nord-Est,0235301097,46 RUE LEON GAMBETTA,76290,MONTIVILLIERS,-
DE L'ABBAYE PHIE - ARRAS - COMPTOIR ONLY,11327,GIROPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 21 23 11 65,"24, rue Méaulens",62000,ARRAS,-
DE L'ALBARINE PHARMACIE,7393,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 74 36 33 35,99 RUE DR TEMPORAL,01230,ST RAMBERT EN BUGEY,-
DE L'AMBRE PHARMACIE,4076,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 29 62 91,"2, rue Henon",69004,LYON 04,-
DE L'AQUEDUC PHARMACIE (EX SORBA ET GIANNOTTI),10139,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 95 22 35 96,Route de Mezzavia,20167,MEZZAVIA,-
DE L'ARCHANGE (EX BROCKERS) PHARMACIE,4096,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 88 70 60 38,"90, rue du Mal de Lattre de Tassigny",67440,MARMOUTIER,-
DE L'ARZON PHARMACIE,6105,,Herve QUELO,PHARMACIE,Centre Auvergne,04 71 03 20 56,"9, Faubourg Constant",43500,CRAPONNE SUR ARZON,-
DE L'AUXOIS PHARMACIE,18222,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 90 80 77,5 Pl. de la Libération,21320,POUILLY EN AUXOIS,-
DE L'EAU VIVE (MME GERLING) PHARMACIE,3333,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 88 80 83 13,"4, avenue de la gare",67110,NIEDERBRONN LES BAINS,-
DE L'ECHASSIER / ROULLAND PHARMACIE,10823,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 45 32 50 44,17 RUE DE L'ANISSERIE,16100,CHATEAUBERNARD,-
DE L'ECOLE MILITAIRE PHARMACIE- COMPTOIR ONLY,11572,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 25 92 80 46,86 Rue de l'École Militaire,10500,BRIENNE LE CHATEAU,-
DE L'ECOLE NORMALE PHARMACIE,0175,ROCADE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 08 52 99,29 rue de l'Ecole Normale,33200,BORDEAUX,-
DE L'EGLISE (EX SYSSAU-SALINGUE) PHARMACIE,2601,GIROPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 29 21 18,"15, avenue Jean Baptiste Lebas",59480,LA BASSEE,-
DE L'EGLISE PHARMACIE,14198,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 50 60 93 34,65 PLACE DE L'EGLISE,74540,ST FELIX,-
DE L'EGLISE PHARMACIE RPET,12215,BSR,Aurore Auffret,PHARMACIE,Bretagne,02.96.38.90.14,2 PLACE DE L'EGLISE,22420,PLOUARET,-
DE L'EMERAUDE PHARMACIE,15754,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 81 01 61,164 AV. LUCIEN BOEUF,83370,ST AYGULF,-
DE L'EQUILIBRE PHARMACIE,4975,COS,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 36 70 93,Zone commerciale La Mirabelle,21310,MIREBEAU,-
DE L'ESPLANADE PHARMACIE,16788,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 78 49 27 16,374 Av. Jean Jaurès,69150,DECINES CHARPIEU,-
DE L'ESTUAIRE PHARMACIE,3578,BSR,Aurore Auffret,PHARMACIE,Bretagne,02 99 88 41 07,1 RUE DRINDEJONC DES MOULINAIS,35730,PLEURTUIT,X
DE L'ETOILE PHARMACIE,3817,PHARMA 10,Celine LUCION,PHARMACIE,Grand Nord-Est,03 88 70 46 85,26 rue Principale,67290,LA PETITE PIERRE,-
DE L'EUROPE PHARMACIE,7780,PHARMABEST,Laurent DURIEUX,PHARMACIE,Val de Loire,05 46 42 32 00,1 Passage de l'Europe,17000,LA ROCHELLE,-
DE L'EUROPE PHARMACIE (PILULIERS 2120),6326,PHARMAVIE,Aurore Auffret,PHARMACIE,Bretagne,02 40 42 15 10,38 Boulevard Liantwit Major,44510,LE POULIGUEN,-
DE L'HEURTEBISE PHARMACIE,16908,GIROPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 07 37 94,195 RUE SADI CARNOT,59320,HAUBOURDIN,-
DE L'HORLOGE PHARMACIE,1032,GIPHAR,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 47 72 26,66 avenue di Général Grollier,34570,PIGNAN,-
DE L'HOTEL DE VILLE PHARMACIE,4083,PHARMA REFLEX,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 65 95 27,16 place Charles de Gaulle,64120,ST PALAIS,-
DE L'HOTEL DE VILLE PHARMACIE,4844,GIROPHARM,Laurent DURIEUX,PHARMACIE,Val de Loire,02 54 88 00 09,60 AVENUE DE L'HOTEL DE VILLE,41600,LAMOTTE BEUVRON,-
DE L'HOTEL DE VILLE PHARMACIE,14197,,Herve QUELO,PHARMACIE,Centre Auvergne,04 71 48 02 74,"2, Place de l'Hôtel de Ville",15000,AURILLAC,-
DE L'HOTEL DE VILLE PHARMACIE (SORTIE),4257,GIPHAR,Celine LUCION,PHARMACIE,Grand Nord-Est,03 27 49 12 73,50 RUE MARECHAL JOFFRE,59530,LE QUESNOY,-
DE L'IMAGINAIRE ( ANC. PRIN) PHARMACIE,4735,RESEAU P&P,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 51 79 05,6 avenue Charles de Gaulle,24120,TERRASSON LA VILLEDIEU,-
DE L'ITON PHARMACIE RPET,4229,,IDF,PHARMACIE,Ile de France,02 32 33 28 31,76 avenue Aristide BRIAND,27930,GRAVIGNY,-
DE L'IZOARD PHARMACIE,12006,PHARMAVIE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 92 21 01 13,30 Rue Centrale,05100,BRIANCON,-
DE L'OFFICE DU TOURISME PHIE,18305,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 92 52 01 04,2 PLACE JEAN MARCELLIN,05000,GAP,-
DE L'OLIVETTE PHIE,9739,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 73 84 15,RUE DE L'OLIVETTE,34190,GANGES,-
DE L'ONYX PHARMACIE,12170,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 93 45 36 51,111 - 113 BD Sadi Carnot,06110,LE CANNET,-
DE L'OPPIDUM PHIE,18629,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 37 00 37,3 RUE FRANCOIS RABELAIS,34440,NISSAN LEZ ENSERUNE,-
DE L'UXELLO PHARMACIE,11131,GIPHAR,Laurent DURIEUX,PHARMACIE,Val de Loire,05 65 32 40 21,77 avenue Henri Barbier,46110,VAYRAC,-
DE LA BAIE PHARMACIE,3889,LEADER SANTE,Aurore Auffret,PHARMACIE,Bretagne,02 40 61 10 90,"Ccal Intermarché avenue du Baulois,",44380,PORNICHET,-
DE LA BARRE PHARMACIE,12877,GIROPHARM,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 63 18 11,28 avenue de l'Adour,64600,ANGLET,-
DE LA BASILIQUE PHARMACIE (EX 9414),12009,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 59 75 47,22 Rue Gutenberg,83470,ST MAXIMIN LA STE BAUME,-
DE LA BASTIDE PHARMACIE (ANC BERNON-FERRER),3749,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 82 61 23,23 rue Gambetta,31330,GRENADE,-
DE LA BINQUENAIS PHARMACIE (PAS DE FRAIS),3637,GIROPHARM,Aurore Auffret,PHARMACIE,Bretagne,02 99 50 65 89,32 bd Oscar Leroux,35200,RENNES,-
DE LA BRAGUE PHARMACIE,4667,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 93 33 34 10,747 Avenue de Nice,06160,ANTIBES,-
DE LA BRETESCHE PHARMACIE,4267,PHARMACTIVE,Aurore Auffret,PHARMACIE,Bretagne,02 40 88 30 24,10 rue de la Fontaine St Jean,44780,MISSILLAC,-
DE LA BUFFA PHARMACIE,4786,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 93 96 29 40,27 Boulevard Gambetta,06000,NICE,X
DE LA CATHEDRALE PHARMACIE,4250,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 38 07 33,2 Place Laperouse,81000,ALBI,-
DE LA CATHEDRALE PHARMACIE,13711,ANIPPA,Aurore Auffret,PHARMACIE,Bretagne,02 98 95 00 20,24 PLACE SAINT CORENTIN,29000,QUIMPER,-
DE LA CHAPELLE PHARMACIE,1047,PHARMACTIVE,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 67 78 70 33,100 CHEMIN DES ROMAINS,34560,MONTBAZIN,-
DE LA CIGOGNE PHARMACIE - MUNSTER,6488,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 89 77 30 05,"17, place du Marché",68140,MUNSTER,-
DE LA CITE PHIE DU PONTET,6377,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 90 31 13 03,51 Av Théophile Delorme,84130,LE PONTET,-
DE LA CONCA D'ORU PHARMACIE,12445,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 95 37 00 22,RESIDENCE PORT,20217,SAINT FLORENT,-
DE LA COQUILLE PHARMACIE,4883,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 52 80 28,28 rue République,24450,LA COQUILLE,-
DE LA COTE VERMEILLE PHARMACIE*GIPHAR,6536,GIPHAR,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 68 82 11 37,6 quai Pierre Forgas,66660,PORT VENDRES,-
DE LA CROIX BLANCHE EHPAD,8831,Fondation Partage et Vie (ex Caisse d'Epargne),Aurelien COURTOISIER,EMS,Centre-Est,03 85 86 93 00,17 rue Croix Blanche,71400,AUTUN,-
DE LA CROIX BLANCHE PHARMACIE,14045,,Herve QUELO,PHARMACIE,Centre Auvergne,04 70 05 36 86,"93, avenue du 8 Mai 1945",03100,MONTLUCON,-
DE LA CROIX BLANCHE PHARMACIE,16379,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 85 52 25 86,14 Rue de la Croix Blanche,71400,AUTUN,-
DE LA CROIX DE METZ PHARMACIE (GIPHAR),5792,GIPHAR,Celine LUCION,PHARMACIE,Grand Nord-Est,03 83 43 21 82,"7, rue de Verdun",54200,TOUL,-
DE LA CROIX GRANDE PHARMACIE (ex 4490),17218,,Dorian SANCHEZ,PHARMACIE,Sud-Est,05 65 67 01 48,52 Av. Tarayre,12000,RODEZ,-
DE LA CROIX PHARMACIE - COMPTOIR ONLY,7199,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 27 00 79,1 PLACE DE LA CROIX,79500,MELLE,-
DE LA FONTAINE PHARMACIE,6457,EVOLUPHARM,Celine LUCION,PHARMACIE,Grand Nord-Est,03 26 73 20 46,"11, avenue du Général Sarrail",51250,SERMAIZE LES BAINS,-
DE LA FONTAINE PHARMACIE (ex 15634),1236,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 73 81 77,"18, Boulevard du Chéry",63350,MARINGUES,-
DE LA FORET PHARMACIE,4513,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 44 41 20 25,126 RUE NATIONALE,60610,LACROIX ST OUEN,-
DE LA GARE PHARMACIE,3844,,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 70 18 06,12 AVENUE DU GENERAL DE GAULLE,87700,AIXE SUR VIENNE,-
DE LA GARE PHARMACIE,17235,APRIUM,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 85 81 11 84,35 quai de l'industrie,71600,PARAY LE MONIAL,-
