Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
EHPAD LES TROIS SOURCES - CDE PAR 12779,12778,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 45 60 08,4 Place Care,48150,MEYRUEIS,-,3.430121,44.179301,0.713400909090909,0.588848732782369,4 Place du Caire 48150 Meyrueis,housenumber,48096_0017_00004,4,4 Place du Caire,Place du Caire,48150,Meyrueis,"48, Lozère, Occitanie",48096,,,,ok
EHPAD LES VALLONS FLEURIS,18705,,Herve QUELO,EHPAD,Centre Auvergne,04 73 54 52 52,2 AVENUE CHARLES DE GAULLE,63570,BRASSAC LES MINES,-,3.319197,45.419003,0.9096663636363634,,2 Avenue Charles de Gaulle 63570 Brassac-les-Mines,housenumber,63050_0036_00002,2,2 Avenue Charles de Gaulle,Avenue Charles de Gaulle,63570,Brassac-les-Mines,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63050,,,,ok
EHPAD LOUIS TAURANT,14916,,Herve QUELO,EHPAD,Centre Auvergne,04 71 64 28 00,1 rue de de la Jordanne,15000,AURILLAC,-,2.442167,44.919145,0.844560956937799,0.6994442857142856,1 Rue de la Jordanne 15000 Aurillac,housenumber,15014_1321_00001,1,1 Rue de la Jordanne,Rue de la Jordanne,15000,Aurillac,"15, Cantal, Auvergne-Rhône-Alpes",15014,,,,ok
EHPAD L’EMERAUDE,9670,,Aurore Auffret,EHPAD,Bretagne,02 96 41 93 37,Boulevard de la Cote d’émeraude,22380,ST CAST LE GUILDO,-,-2.265064,48.633042,0.8531163020030816,,Boulevard de la Côte d'Emeraude 22380 Saint-Cast-le-Guildo,street,22282_0880,,Boulevard de la Côte d'Emeraude,Boulevard de la Côte d'Emeraude,22380,Saint-Cast-le-Guildo,"22, Côtes-d'Armor, Bretagne",22282,,,,ok
EHPAD MICHEL LAMARCHE,6298,,Aurore Auffret,EHPAD,Bretagne,02 96 84 60 47,Rue du 19 mars 1962,22250,BROONS,-,-2.260823,48.314817,0.8948654545454545,,Rue du 19 Mars 1962 22250 Broons,street,22020_0225,,Rue du 19 Mars 1962,Rue du 19 Mars 1962,22250,Broons,"22, Côtes-d'Armor, Bretagne",22020,,,,ok
EHPAD MON REPOS,6758,,Aurore Auffret,EHPAD,Bretagne,02 40 33 53 57,Route Vieillevigne,44140,AIGREFEUILLE SUR MAINE,-,-1.399267,47.074619,0.7957603743315508,,Rue de Vieillevigne 44140 Aigrefeuille-sur-Maine,street,44002_0115,,Rue de Vieillevigne,Rue de Vieillevigne,44140,Aigrefeuille-sur-Maine,"44, Loire-Atlantique, Pays de la Loire",44002,,,,ok
EHPAD Nazareth,16717,,Herve QUELO,EHPAD,Centre Auvergne,04 71 06 66 70,60 Av. Maréchal Foch,43000,LE PUY EN VELAY,-,3.887185,45.037771,0.814277233201581,,60 Avenue Marechal Foch 43000 Le Puy-en-Velay,housenumber,43157_1340_00060,60,60 Avenue Marechal Foch,Avenue Marechal Foch,43000,Le Puy-en-Velay,"43, Haute-Loire, Auvergne-Rhône-Alpes",43157,,,,ok
EHPAD PAUL VALERY,15633,,Herve QUELO,EHPAD,Centre Auvergne,04 83 92 94 15,13 rue Françoise-Hélène Jourda,63000,CLERMONT FERRAND,-,3.125035,45.773312,0.9333501372212692,,13 rue Françoise Hélène Jourda 63000 Clermont-Ferrand,housenumber,63113_1956_00013,13,13 rue Françoise Hélène Jourda,rue Françoise Hélène Jourda,63000,Clermont-Ferrand,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63113,,,,ok
EHPAD PEN AR STEIR,17705,,Aurore Auffret,EHPAD,Bretagne,02 98 91 80 90,1 RUE DE LANDIBILIC,29180,PLOGONNEC,-,-4.195856,48.081872,0.9040183116883116,0.6598871175166298,1 Rue de Landibilic 29180 Plogonnec,housenumber,29169_0460_00001,1,1 Rue de Landibilic,Rue de Landibilic,29180,Plogonnec,"29, Finistère, Bretagne",29169,,,,ok
EHPAD PIERRE BEREGOVOY,15496,,Herve QUELO,EHPAD,Centre Auvergne,03 86 38 44 00,18 rue du Commandant Achet,58160,IMPHY,-,3.270857,46.926551,0.9077140191387558,,18 Rue du Commandant Achet 58160 Imphy,housenumber,58134_0223_00018,18,18 Rue du Commandant Achet,Rue du Commandant Achet,58160,Imphy,"58, Nièvre, Bourgogne-Franche-Comté",58134,,,,ok
EHPAD PIERRE DE CELLE,14738,,Celine LUCION,EHPAD,Grand Nord-Est,03 25 45 68 90,17 rue Gilbert Médéric,10120,ST ANDRE LES VERGERS,-,4.048061,48.280476,0.8425886620926244,,17 Rue Gilbert Médéric 10120 Saint-André-les-Vergers,housenumber,10333_1610_00017,17,17 Rue Gilbert Médéric,Rue Gilbert Médéric,10120,Saint-André-les-Vergers,"10, Aube, Grand Est",10333,,,,ok
EHPAD RESIDENCE CAYLUS,14201,,Herve QUELO,EHPAD,Centre Auvergne,04 71 48 34 55,12 rue Caylus,15000,AURILLAC,-,2.43994,44.92475,0.8992431168831169,,12 Rue Caylus 15000 Aurillac,housenumber,15014_0440_00012,12,12 Rue Caylus,Rue Caylus,15000,Aurillac,"15, Cantal, Auvergne-Rhône-Alpes",15014,,,,ok
EHPAD RESIDENCE LA JORDANNE,14196,,Herve QUELO,EHPAD,Centre Auvergne,04 71 64 28 00,1 rue de la Jordanne,15000,AURILLAC,-,2.442167,44.919145,0.9122301298701299,0.7493943356643357,1 Rue de la Jordanne 15000 Aurillac,housenumber,15014_1321_00001,1,1 Rue de la Jordanne,Rue de la Jordanne,15000,Aurillac,"15, Cantal, Auvergne-Rhône-Alpes",15014,,,,ok
EHPAD RESIDENCE LES PINS,11868,,Herve QUELO,EHPAD,Centre Auvergne,05 55 00 01 02,"5, avenue Léon Dunaud",87310,ST LAURENT SUR GORRE,-,0.955179,45.764522,0.817222816399287,,5 Avenue Leon Dunaud 87310 Saint-Laurent-sur-Gorre,housenumber,87158_0138_00005,5,5 Avenue Leon Dunaud,Avenue Leon Dunaud,87310,Saint-Laurent-sur-Gorre,"87, Haute-Vienne, Nouvelle-Aquitaine",87158,,,,ok
EHPAD RESIDENCE MALLET,9447,,Herve QUELO,EHPAD,Centre Auvergne,04 71 23 18 18,Lieudit Le Mallet,15500,MASSIAC,-,3.197713,45.251639,0.48644553911205074,,Rue du Docteur Mallet 15500 Massiac,street,15119_0060,,Rue du Docteur Mallet,Rue du Docteur Mallet,15500,Massiac,"15, Cantal, Auvergne-Rhône-Alpes",15119,,,,ok
EHPAD ROGER BESSON,12055,,Herve QUELO,EHPAD,Centre Auvergne,04 70 99 80 35,"8, rue Roger Besson",03150,ST GERAND LE PUY,-,3.511678,46.255702,0.8033440404040403,,8 Rue Roger Besson 03150 Saint-Gérand-le-Puy,housenumber,03235_0401_00008,8,8 Rue Roger Besson,Rue Roger Besson,03150,Saint-Gérand-le-Puy,"03, Allier, Auvergne-Rhône-Alpes",03235,,,,ok
EHPAD SAINT GABRIEL,14868,,Laurent DURIEUX,EHPAD,Val de Loire,02 51 42 15 41,20 Rue de la vendée,85610,CUGAND,-,-1.253283,47.062864,0.7557259530791788,0.5180172727272727,20 Rue de la vendée 85610 Cugand-la-Bernardière,housenumber,85076_0670_00020,20,20 Rue de la vendée,Rue de la vendée,85610,Cugand-la-Bernardière,"85, Vendée, Pays de la Loire",85076,85076,CUGAND,,ok
EHPAD SAINT JEAN-BAPTISTE,17427,,Herve QUELO,EHPAD,Centre Auvergne,04 73 86 22 46,LE BOURG,63410,LOUBEYRAT,-,3.010825,45.936102,0.8645278787878786,0.6709251851851851,Le Bourg 63410 Loubeyrat,locality,63198_yki82r,,Le Bourg,,63410,Loubeyrat,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63198,,,,ok
EHPAD SAINT LOUIS,16743,,Aurore Auffret,EHPAD,Bretagne,02 40 26 70 33,49 Rue Jean Baptiste,44140,GENESTON,-,-1.518765,47.055362,0.7651648051948051,,49 Rue  Jean-Baptiste Legeay 44140 Geneston,housenumber,44223_0094_00049,49,49 Rue  Jean-Baptiste Legeay,Rue  Jean-Baptiste Legeay,44140,Geneston,"44, Loire-Atlantique, Pays de la Loire",44223,,,,ok
EHPAD SAINT MARTIN,17197,HABITAT & HUMANISME SOIN,Celine LUCION,EHPAD,Grand Nord-Est,03 26 07 33 44,33 RUE DE BETHENY,51100,REIMS,-,4.045868,49.267032,0.9158049843260186,0.5612986776859503,33 Rue de Bétheny 51100 Reims,housenumber,51454_0870_00033,33,33 Rue de Bétheny,Rue de Bétheny,51100,Reims,"51, Marne, Grand Est",51454,,,,ok
EHPAD SAINT-RAPHAEL,12414,,Laurent DURIEUX,EHPAD,Val de Loire,02 43 95 19 25,3 Rue Jules Alain,72300,SOLESMES,-,-0.304084,47.850865,0.8936763636363636,,3 Rue  Jules Alain 72300 Solesmes,housenumber,72336_0380_00003,3,3 Rue  Jules Alain,Rue  Jules Alain,72300,Solesmes,"72, Sarthe, Pays de la Loire",72336,,,,ok
EHPAD Saint-Sulpice,18234,,Herve QUELO,EHPAD,Centre Auvergne,04 77 69 31 00,729 rue Saint Sulpice,42300,VILLEREST,-,4.024993,45.990234,0.7355590909090909,,729 Route de Saint-Sulpice 42300 Villerest,housenumber,42332_0106_00729,729,729 Route de Saint-Sulpice,Route de Saint-Sulpice,42300,Villerest,"42, Loire, Auvergne-Rhône-Alpes",42332,,,,ok
EHPAD ST CHARLES SCHILTIGHEIM,15468,,Celine LUCION,EHPAD,Grand Nord-Est,0388621212,31 RUE ST CHARLES,67300,SCHILTIGHEIM,-,7.739433,48.604997,0.8074663636363635,0.5742750649350649,31 Rue Saint-Charles 67300 Schiltigheim,housenumber,67447_1270_00031,31,31 Rue Saint-Charles,Rue Saint-Charles,67300,Schiltigheim,"67, Bas-Rhin, Grand Est",67447,,,,ok
EHPAD ST JEAN,15038,,Laurent DURIEUX,EHPAD,Val de Loire,,12 Rue Michelet,36000,CHATEAUROUX,-,1.709515,46.800793,0.9106426721763086,,12 Rue Michelet 36000 Châteauroux,housenumber,36044_1970_00012,12,12 Rue Michelet,Rue Michelet,36000,Châteauroux,"36, Indre, Centre-Val de Loire",36044,,,,ok
EHPAD ST JOSEPH,9885,,Celine LUCION,EHPAD,Grand Nord-Est,02 32 79 25 00,20 Rue du Père Arson,76700,ROGERVILLE,-,0.282576,49.509722,0.9067890417690416,,20 Rue du Père Arson 76700 Rogerville,housenumber,76533_0150_00020,20,20 Rue du Père Arson,Rue du Père Arson,76700,Rogerville,"76, Seine-Maritime, Normandie",76533,,,,ok
EHPAD ST JOSEPH-SIAMPADH,12494,,IDF,EHPAD,Ile de France,01 64 24 32 36,41 avenue de Fontainebleau,77760,LA CHAPELLE LA REINE,-,2.574438,48.319513,0.9239665008576328,,41 Avenue de Fontainebleau 77760 La Chapelle-la-Reine,housenumber,77088_0200_00041,41,41 Avenue de Fontainebleau,Avenue de Fontainebleau,77760,La Chapelle-la-Reine,"77, Seine-et-Marne, Île-de-France",77088,,,,ok
EHPAD STV BAGUER MORVAN,9771,Hopital Saint Thomas de Villeneuve,Aurore Auffret,EHPAD,Bretagne,02 99 80 99 80,Chemin Du Heron,35120,BAGUER MORVAN,-,-1.769423,48.525188,0.8995774025974025,,Chemin du Héron 35120 Baguer-Morvan,street,35009_0021,,Chemin du Héron,Chemin du Héron,35120,Baguer-Morvan,"35, Ille-et-Vilaine, Bretagne",35009,,,,ok
Ehpad Villa Claudine,17895,,Herve QUELO,EHPAD,Centre Auvergne,04 70 41 56 66,4 place de la Mairie,63310,RANDAN,-,3.352674,46.013149,0.8954844903581267,0.5386704812834224,4 Place de la Mairie 63310 Randan,housenumber,63295_0055_00004,4,4 Place de la Mairie,Place de la Mairie,63310,Randan,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63295,,,,ok
EHPAD VILLA SAINTE MARIE,9445,,Herve QUELO,EHPAD,Centre Auvergne,04 71 48 10 94,23 rue du Général Destaing,15000,AURILLAC,-,2.438635,44.924373,0.8605244820295983,0.5333616083916084,23 Rue du General d’Estaing 15000 Aurillac,housenumber,15014_jpgelp_00023,23,23 Rue du General d’Estaing,Rue du General d’Estaing,15000,Aurillac,"15, Cantal, Auvergne-Rhône-Alpes",15014,,,,ok
EL CANT DELS OCELLS EHPAD,2308,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 39 72 01,Route Preste,66230,PRATS DE MOLLO LA PRESTE,-,2.44095,42.413765,0.8429654545454545,0.7030655502392343,Route de la Preste 66230 Prats-de-Mollo-la-Preste,street,66150_9qqceu,,Route de la Preste,Route de la Preste,66230,Prats-de-Mollo-la-Preste,"66, Pyrénées-Orientales, Occitanie",66150,,,,ok
ELVIRE GAY EHPAD,2567,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 88 20 28,3 Avenue de Saint Gaudens,31350,BOULOGNE SUR GESSE,-,0.65063,43.291005,0.9140418181818182,,3 Avenue de Saint Gaudens 31350 Boulogne-sur-Gesse,housenumber,31080_0168_00003,3,3 Avenue de Saint Gaudens,Avenue de Saint Gaudens,31350,Boulogne-sur-Gesse,"31, Haute-Garonne, Occitanie",31080,,,,ok
EMILIE DE VILLENEUVE EHPAD,7243,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 62 39 00,9 Avenue Emilie de Villeneuve,81100,CASTRES,-,2.243562,43.601191,0.9316848837209302,,9 Avenue Emilie de Villeneuve 81100 Castres,housenumber,81065_1270_00009,9,9 Avenue Emilie de Villeneuve,Avenue Emilie de Villeneuve,81100,Castres,"81, Tarn, Occitanie",81065,,,,ok
ENTRE DEUX MERS EHPAD KORIAN,8667,KORIAN,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 71 86 49,44 Boulevard du 11 Novembre 1918,33540,SAUVETERRE DE GUYENNE,-,-0.08906,44.6932,0.9273669696969697,,44 Boulevard du 11 novembre 1918 33540 Sauveterre-de-Guyenne,housenumber,33506_0063_00044,44,44 Boulevard du 11 novembre 1918,Boulevard du 11 novembre 1918,33540,Sauveterre-de-Guyenne,"33, Gironde, Nouvelle-Aquitaine",33506,,,,ok
ESCANDIHADO EHPAD,9926,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 80 99 20,560 AVENUE GENERAL DE GAULLE,83340,FLASSANS SUR ISSOLE,-,6.225381,43.37103,0.8830197288676235,,560 Avenue du General de Gaulle 83340 Flassans-sur-Issole,housenumber,83057_0057_00560,560,560 Avenue du General de Gaulle,Avenue du General de Gaulle,83340,Flassans-sur-Issole,"83, Var, Provence-Alpes-Côte d'Azur",83057,,,,ok
ESCANDIHADO SITE DE BESSE EHPAD,9913,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 69 73 88,237 CHEMIN DE FLANQUEGIERE,83890,BESSE SUR ISSOLE,-,6.162845,43.346034,0.7612477622377621,0.6360795041322314,Chemin de Flanquegiaire 83890 Besse-sur-Issole,street,83018_ymo4n1,,Chemin de Flanquegiaire,Chemin de Flanquegiaire,83890,Besse-sur-Issole,"83, Var, Provence-Alpes-Côte d'Azur",83018,,,,ok
ESKUALDUNA EHPAD DOMUSVI,5602,DOMUSVI,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 47 57 00,455 ave du Gl de Gaulle,64210,GUETHARY,-,-1.609125,43.424251,0.7228580464216634,,455 Avenue du Général de Gaulle 64210 Guéthary,housenumber,64249_0268_00455,455,455 Avenue du Général de Gaulle,Avenue du Général de Gaulle,64210,Guéthary,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64249,,,,ok
ESTIBERE EHPAD,10176,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 05 39 06,4 rue du Bialé,64440,LARUNS,-,-0.427451,42.988282,0.8866026599326599,,4 Rue du Biale 64440 Laruns,housenumber,64320_0130_00004,4,4 Rue du Biale,Rue du Biale,64440,Laruns,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64320,,,,ok
ETXETOA EHPAD,2715,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 93 50 00,Lotissement Etxetoa,64250,SOURAIDE,-,-1.468137,43.336446,0.5276876053215077,,Chemin d'Etxetoa 64250 Souraïde,street,64527_0185,,Chemin d'Etxetoa,Chemin d'Etxetoa,64250,Souraïde,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64527,,,,ok
EUGENIE DESJOBERT EHPAD (EX 5149),11937,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 41 97 10,2 avenue Simone de Beauvoir,40130,CAPBRETON,-,-1.409226,43.653587,0.9219967019027484,,2 Avenue Simone de Beauvoir 40130 Capbreton,housenumber,40065_0263_00002,2,2 Avenue Simone de Beauvoir,Avenue Simone de Beauvoir,40130,Capbreton,"40, Landes, Nouvelle-Aquitaine",40065,,,,ok
EUZIERE EHPAD,2744,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 56 37 37,RUE YOURI GAGARINE,30480,CENDRAS,-,4.054163,44.158438,0.8897018181818181,,Rue Youri Gagarine 30480 Cendras,street,30077_0180,,Rue Youri Gagarine,Rue Youri Gagarine,30480,Cendras,"30, Gard, Occitanie",30077,,,,ok
FABIEN LANAVE EHPAD,15387,Fondation Père Favron,Export,EHPAD,Dom-Tom,+262 262 91 55 20,80 Av. de la Commune de Paris,97420,LE PORT,-,55.292486,-20.944806,0.8155020309477755,,80 Avenue de la Commune de Paris 97420 Le Port,housenumber,97407_0131_00080,80,80 Avenue de la Commune de Paris,Avenue de la Commune de Paris,97420,Le Port,"974, La Réunion",97407,,,,ok
FLEURS D'AUTOMNE EHPAD,4171,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 02 64 64,"1, rue de la Soie",69150,DECINES CHARPIEU,-,4.94342,45.770952,0.9074726806526806,,1 Rue de la Soie 69150 Décines-Charpieu,housenumber,69275_1224_00001,1,1 Rue de la Soie,Rue de la Soie,69150,Décines-Charpieu,"69, Rhône, Auvergne-Rhône-Alpes",69275,,,,ok
FLORE D'ARC EHPAD,3802,,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 32 55 00,"6, avenue de Flore",13420,GEMENOS,-,5.628052,43.297202,0.7074906611570247,0.6314180213903743,6 Rue de Flore 13420 Gémenos,housenumber,13042_0161_00006,6,6 Rue de Flore,Rue de Flore,13420,Gémenos,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13042,,,,ok
FOIX DE CANDALLE EHPAD,0787,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 80 32 63,24 Rue Maréchal Foch,24700,MONTPON MENESTEROL,-,0.163312,45.007967,0.8663275757575758,,24 Rue du Maréchal Foch 24700 Montpon-Ménestérol,housenumber,24294_0132_00024,24,24 Rue du Maréchal Foch,Rue du Maréchal Foch,24700,Montpon-Ménestérol,"24, Dordogne, Nouvelle-Aquitaine",24294,,,,ok
FONDATION DELTA PLUS LIMOGES,10826,,Herve QUELO,EHPAD,Centre Auvergne,05 55 35 28 81,"6, rue Rhin et Danube",87380,LIMOGES,-,1.29549,45.881689,0.821851212121212,,6 rue Rhin et Danube 87280 Limoges,housenumber,87085_4542_00006,6,6 rue Rhin et Danube,rue Rhin et Danube,87280,Limoges,"87, Haute-Vienne, Nouvelle-Aquitaine",87085,,,,ok
FONDATION PAULIANI,1823,,Dorian SANCHEZ,EHPAD,Sud-Est,04 92 17 66 00/ 6725,4 avenue Pauliani,06000,NICE,-,7.280167,43.706334,0.9136494805194805,0.48598297520661154,4 Avenue Pauliani 06000 Nice,housenumber,06088_4915_00004,4,4 Avenue Pauliani,Avenue Pauliani,06000,Nice,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06088,,,,ok
FONDATION SAINT SEVER,6197,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 08 02 22,25 rue de la Mairie,40430,LUXEY,-,-0.518693,44.264159,0.8843807917888562,,25 Rue de la Mairie 40430 Luxey,housenumber,40167_0080_00025,25,25 Rue de la Mairie,Rue de la Mairie,40430,Luxey,"40, Landes, Nouvelle-Aquitaine",40167,,,,ok
FONTDIVINA EHPAD KORIAN,2345,KORIAN,Dorian SANCHEZ,EHPAD,Sud-Est,04 97 17 75 00,CHEMIN ROMAIN,06240,BEAUSOLEIL,-,7.425545,43.751128,0.9058484848484848,0.6896845454545453,Chemin Romain 06240 Beausoleil,street,06012_0600,,Chemin Romain,Chemin Romain,06240,Beausoleil,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06012,,,,ok
FOYER DE SUREL,17964,,Dorian SANCHEZ,EHPAD,Sud-Est,04 75 58 81 47,ADAPEI DROME,26320,ST MARCEL LES VALENCE,-,4.952027,44.972973,0.5632521353065539,0.5295097520661156,Saint-Marcel-lès-Valence,municipality,26313,,Saint-Marcel-lès-Valence,,26320,Saint-Marcel-lès-Valence,"26, Drôme, Auvergne-Rhône-Alpes",26313,,,,ok
FOYER LES RIVALIERES,16468,,Herve QUELO,EHPAD,Centre Auvergne,04 73 55 02 31,947 ROUTE DE CLERMOND-FERRAND,63500,ISSOIRE,-,3.25101,45.564213,0.6812898989898989,0.45918762923351153,947 Route de Clermont 63500 Issoire,housenumber,63178_0460_00947,947,947 Route de Clermont,Route de Clermont,63500,Issoire,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63178,,,,ok
FOYER LES SOURCES F.A.H.G,16744,,Celine LUCION,EHPAD,Grand Nord-Est,07 83 36 69 56,236 PAIRIS,68370,ORBEY,-,7.123381,48.11548,0.8716162809917355,0.6358892307692308,236 Pairis 68370 Orbey,housenumber,68249_m6kj42_00236,236,236 Pairis,Pairis,68370,Orbey,"68, Haut-Rhin, Grand Est",68249,,,,ok
FOYER PAUL HERNOT,13792,CCAS,Aurore Auffret,EHPAD,Bretagne,02 96 37 04 18,4 Rue Emmanuel Sieyès,22300,LANNION,-,-3.448504,48.726959,0.9095928571428571,,4 Rue Emmanuel Sieyès 22300 Lannion,housenumber,22113_1522_00004,4,4 Rue Emmanuel Sieyès,Rue Emmanuel Sieyès,22300,Lannion,"22, Côtes-d'Armor, Bretagne",22113,,,,ok
FRANCIS CATALA EHPAD,3732,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 05 47 00,"12, avenue Conventionnel Fabre",66320,VINCA,-,2.52491,42.643419,0.854765123966942,,12 Avenue du Conventionnel Fabre 66320 Vinça,housenumber,66230_0086_00012,12,12 Avenue du Conventionnel Fabre,Avenue du Conventionnel Fabre,66320,Vinça,"66, Pyrénées-Orientales, Occitanie",66230,,,,ok
FRANCOIS D'ASSISE EHPAD,5213,HABITAT & HUMANISME SOIN,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 86 40 00,75 Rue Marcel Paul,39000,LONS LE SAUNIER,-,5.55792,46.67528,0.9169554545454545,0.7268149407114624,75 Rue Marcel Paul 39000 Lons-le-Saunier,housenumber,39300_0628_00075,75,75 Rue Marcel Paul,Rue Marcel Paul,39000,Lons-le-Saunier,"39, Jura, Bourgogne-Franche-Comté",39300,,,,ok
GAMBETTA EHPAD,14768,,Celine LUCION,EHPAD,Grand Nord-Est,03 20 21 50 40,99 rue du Marché,59000,LILLE,-,3.052756,50.624579,0.9165594805194806,,99 Rue du Marché 59000 Lille,housenumber,59350_5893_00099,99,99 Rue du Marché,Rue du Marché,59000,Lille,"59, Nord, Hauts-de-France",59350,59350,Lille,,ok
GARAZI EHPAD,3893,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 37 10 48,Bourg Ispoure,64220,SAINT JEAN PIED DE PORT,-,-1.219677,43.167812,0.7346147309833023,,Route de Saint-Jean-Pied-de-Port 64220 Ispoure,street,64275_sdaw4u,,Route de Saint-Jean-Pied-de-Port,Route de Saint-Jean-Pied-de-Port,64220,Ispoure,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64275,,,,ok
GAUTIER BEAUREGARD EHPAD,10006,,Herve QUELO,EHPAD,Centre Auvergne,04 73 68 02 83,56 Place du Coudert,63116,BEAUREGARD L'EVEQUE,-,3.297042,45.812695,0.9123377777777777,,56 Place du Coudert 63116 Beauregard-l'Évêque,housenumber,63034_0040_00056,56,56 Place du Coudert,Place du Coudert,63116,Beauregard-l'Évêque,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63034,,,,ok
GCS PUI ANJOU,3303,,Laurent DURIEUX,EHPAD,Val de Loire,02 41 83 47 00,"187, rue de l’hôpital",49700,DOUE EN ANJOU,-,-0.267158,47.193642,0.911501818181818,0.6541854545454545,187 Rue de l'Hôpital 49700 Doué-en-Anjou,housenumber,49125_0595_00187,187,187 Rue de l'Hôpital,Rue de l'Hôpital,49700,Doué-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49125,49125,Doué-la-Fontaine,,ok
GERARD MINVIELLE EHPAD,8035,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 73 41 42,A/A de MME UNG,40400,TARTAS,-,-0.798924,43.867078,0.5280866666666666,0.5212839393939394,Route de Tartas 40400 Carcen-Ponson,street,40067_0190,,Route de Tartas,Route de Tartas,40400,Carcen-Ponson,"40, Landes, Nouvelle-Aquitaine",40067,,,,ok
GERMAINE LEDAN EHPAD,8998,,Aurore Auffret,EHPAD,Bretagne,02 96 41 02 79,11 rue Ledan,22550,MATIGNON,-,-2.287698,48.593788,0.8845153872053871,,11 Rue Ledan 22550 Matignon,housenumber,22143_0260_00011,11,11 Rue Ledan,Rue Ledan,22550,Matignon,"22, Côtes-d'Armor, Bretagne",22143,,,,ok
GLORIANDE EHPAD,8306,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 70 31 00,Rue Henri Noguerre,12150,SEVERAC LE CHATEAU,-,3.071524,44.31946,0.5314418518518518,0.4499945454545455,Rue Henri Noguères 12150 Sévérac d'Aveyron,street,12270_0161,,Rue Henri Noguères,Rue Henri Noguères,12150,Sévérac d'Aveyron,"12, Aveyron, Occitanie",12270,12270,Sévérac-le-Château,,ok
GOXA LEKU EHPAD,3335,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 37 73 73,Centre Bourg,64640,IHOLDY,-,-1.177067,43.29816,0.47104147335423197,0.44029575757575756,Route d'Iholdy 64640 Armendarits,street,64046_0460,,Route d'Iholdy,Route d'Iholdy,64640,Armendarits,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64046,,,,ok
GROUPE SOS SENIORS LE PLATEAU,14387,SOS,Celine LUCION,EHPAD,Grand Nord-Est,0382545400,,57840,OTTANGE,-,6.016067,49.43583,0.9405127272727273,0.5437023140495868,Ottange,municipality,57529,,Ottange,,57840,Ottange,"57, Moselle, Grand Est",57529,,,,ok
HAIZPEAN EHPAD,5605,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 01 10 30,79 rue de l'Armatonde,64700,HENDAYE,-,-1.756633,43.376247,0.7827850505050504,0.5405491341991343,79 Rue d'Armatonde 64700 Hendaye,housenumber,64260_0170_00079,79,79 Rue d'Armatonde,Rue d'Armatonde,64700,Hendaye,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64260,,,,ok
HAMEAU D'EGUZON,14128,,Laurent DURIEUX,EHPAD,Val de Loire,02 54 01 66 10,"24, rue Jean Jaurès",36270,EGUZON CHANTOME,-,1.578094,46.445425,0.9095899999999999,,24 Rue Jean Jaurès 36270 Éguzon-Chantôme,housenumber,36070_0030_00024,24,24 Rue Jean Jaurès,Rue Jean Jaurès,36270,Éguzon-Chantôme,"36, Indre, Centre-Val de Loire",36070,,,,ok
